"group","value"
"处理A",4.8245
"处理A",3.9282
"处理A",5.1632
"处理A",4.6373
"处理A",5.59
"处理A",6.4324
"处理A",4.0073
"处理A",5.4547
"处理A",5.0849
"处理A",5.8956
"处理A",4.7702
"处理A",5.8366
"处理A",3.2549
"处理A",6.6895
"处理A",5.8648
"处理A",4.8492
"处理A",3.551
"处理A",5.643
"处理A",5.4832
"处理A",4.9936
"处理A",5.1515
"处理A",4.4159
"处理A",5.3688
"处理A",5.2947
"处理A",4.7207
"处理A",3.6638
"处理A",5.7007
"处理A",5.5542
"处理A",4.1637
"处理A",3.4054
"处理B",7.4099
"处理B",6.3098
"处理B",7.5052
"处理B",4.412
"处理B",5.0817
"处理B",9.1715
"处理B",7.8075
"处理B",8.173
"处理B",10.6305
"处理B",7.2576
"处理B",2.9981
"处理B",7.6676
"处理B",9.3427
"处理B",11.1191
"处理B",4.2463
"处理B",4.6983
"处理B",5.5884
"处理B",4.8919
"处理B",5.7085
"处理B",6.6292
"处理B",4.5976
"处理B",11.0739
"处理B",7.2155
"处理B",6.8318
"处理B",7.9912
"处理B",7.0748
"处理B",6.7358
"处理B",9.9536
"处理B",6.5659
"处理B",4.4328
"处理C",4.1928
"处理C",3.8242
"处理C",3.7391
"处理C",3.4659
"处理C",4.2142
"处理C",3.913
"处理C",4.2578
"处理C",3.8828
"处理C",3.6707
"处理C",4.6251
"处理C",3.8641
"处理C",4.474
"处理C",3.3992
"处理C",3.7669
"处理C",3.8653
"处理C",7.8045
"处理C",8.6744
"处理C",7.9886
"处理C",8.1221
"处理C",7.5288
"处理C",7.6354
"处理C",8.499
"处理C",8.6292
"处理C",8.6244
"处理C",7.3097
"处理C",9.025
"处理C",8.5084
"处理C",7.9866
"处理C",8.3518
"处理C",7.5143
